File Name,Dimensions,File Size (MB),Aspect Ratio
@balooitsme6.jpg,"(990, 1251)",0.21024608612060547,0.7913669064748201
@balooitsme7.jpg,"(990, 996)",0.12041378021240234,0.9939759036144579
@balooitsme9.jpg,"(990, 1219)",0.09383010864257812,0.8121410992616899
@barkleysircharles0.jpg,"(201, 251)",0.010903358459472656,0.8007968127490039
@barkleysircharles1.jpg,"(201, 251)",0.009386062622070312,0.8007968127490039
@barkleysircharles10.jpg,"(286, 176)",0.012020111083984375,1.625
@barkleysircharles11.jpg,"(168, 300)",0.0100860595703125,0.56
@barkleysircharles2.jpg,"(226, 223)",0.009256362915039062,1.0134529147982063
@barkleysircharles3.jpg,"(210, 240)",0.011190414428710938,0.875
@barkleysircharles4.jpg,"(209, 241)",0.008225440979003906,0.8672199170124482
@barkleysircharles5.jpg,"(1080, 1144)",0.18909168243408203,0.9440559440559441
@barkleysircharles6.jpg,"(224, 224)",0.0070095062255859375,1.0
@barkleysircharles7.jpg,"(225, 225)",0.01349639892578125,1.0
@barkleysircharles8.jpg,"(320, 336)",0.020444869995117188,0.9523809523809523
@barkleysircharles9.jpg,"(207, 244)",0.013381004333496094,0.8483606557377049
@bluestaffyboulder0.jpg,"(640, 640)",0.08869743347167969,1.0
@bluestaffyboulder1.jpg,"(1280, 720)",0.1953258514404297,1.7777777777777777
@bluestaffyboulder10.jpg,"(640, 797)",0.09143733978271484,0.8030112923462986
@bluestaffyboulder11.jpg,"(1300, 956)",0.11276912689208984,1.3598326359832635
@bluestaffyboulder12.jpg,"(300, 168)",0.014619827270507812,1.7857142857142858
@bluestaffyboulder2.jpg,"(201, 251)",0.014060020446777344,0.8007968127490039
@bluestaffyboulder3.jpg,"(194, 259)",0.013853073120117188,0.749034749034749
@bluestaffyboulder4.jpg,"(640, 800)",0.14421844482421875,0.8
@bluestaffyboulder5.jpg,"(480, 360)",0.045368194580078125,1.3333333333333333
@bluestaffyboulder6.jpg,"(225, 225)",0.013090133666992188,1.0
@bluestaffyboulder7.jpg,"(800, 949)",0.14123916625976562,0.8429926238145417
@bluestaffyboulder8.jpg,"(236, 295)",0.015439987182617188,0.8
@bluestaffyboulder9.jpg,"(201, 251)",0.010412216186523438,0.8007968127490039
@carterchowchow0.jpg,"(1638, 2048)",0.433990478515625,0.7998046875
@carterchowchow1.jpg,"(168, 300)",0.008395195007324219,0.56
@carterchowchow10.jpg,"(600, 600)",0.04230213165283203,1.0
@carterchowchow11.jpg,"(1280, 720)",0.10437393188476562,1.7777777777777777
@carterchowchow2.jpg,"(640, 1138)",0.05549144744873047,0.562390158172232
@carterchowchow3.jpg,"(1280, 720)",0.07111644744873047,1.7777777777777777
@carterchowchow4.jpg,"(1638, 2048)",0.5419836044311523,0.7998046875
@carterchowchow5.jpg,"(1280, 720)",0.0886850357055664,1.7777777777777777
@carterchowchow6.jpg,"(1638, 2048)",0.6123256683349609,0.7998046875
@carterchowchow7.jpg,"(1280, 720)",0.09223747253417969,1.7777777777777777
@carterchowchow8.jpg,"(201, 251)",0.011659622192382812,0.8007968127490039
@carterchowchow9.jpg,"(300, 168)",0.008069038391113281,1.7857142857142858
@crusoe_dachshund0.jpg,"(900, 900)",0.09836006164550781,1.0
@crusoe_dachshund1.jpg,"(720, 720)",0.05913352966308594,1.0
@crusoe_dachshund11.jpg,"(225, 225)",0.010496139526367188,1.0
@crusoe_dachshund2.jpg,"(225, 225)",0.012200355529785156,1.0
@crusoe_dachshund3.jpg,"(828, 824)",0.1100320816040039,1.0048543689320388
@crusoe_dachshund4.jpg,"(720, 1280)",0.08164405822753906,0.5625
@crusoe_dachshund5.jpg,"(1200, 1200)",0.2075786590576172,1.0
@crusoe_dachshund6.jpg,"(225, 224)",0.011803627014160156,1.0044642857142858
@crusoe_dachshund7.jpg,"(225, 225)",0.01541900634765625,1.0
@crusoe_dachshund8.jpg,"(405, 720)",0.03938484191894531,0.5625
@crusoe_dachshund9.jpg,"(1048, 1048)",0.18728351593017578,1.0
@dailydougie0.jpg,"(640, 640)",0.08111190795898438,1.0
@dailydougie1.jpg,"(225, 225)",0.008600234985351562,1.0
@dailydougie10.jpg,"(640, 640)",0.07559680938720703,1.0
@dailydougie11.jpg,"(225, 225)",0.012858390808105469,1.0
